,year,region_code,regions,age_group_code,average_weekly_income,expenditure_per_person,average_sale_price,hpi,cpi,annual_savings,downpayment_capacity,loan_to_value_ratio,affordability
64,2016,r002,Rest of North Island,2,764.8333333333334,363.7666829427083,364626.93061757897,2268.175048828125,984.5,20855.465820312504,62566.397460937515,36462.6930617579,6
65,2007,r004,Canterbury,3,840.0,310.26666259765625,331251.7724867725,1514.0,834.5,27546.133544921875,82638.40063476562,33125.17724867725,6
66,2007,r004,Canterbury,1,435.0,310.26666259765625,331251.7724867725,1514.0,834.5,6486.133544921875,19458.400634765625,33125.17724867725,3
67,2013,r001,Auckland,3,831.0,421.933349609375,777127.68512,1666.4249267578125,963.5,21271.4658203125,63814.3974609375,77712.76851200001,5
68,2013,r004,Canterbury,3,877.0,360.2666829427083,393514.7318295739,1666.4249267578125,963.5,26870.132486979168,80610.3974609375,39351.473182957394,6
69,2007,r003,Wellington,2,656.0,368.8333333333333,388501.53711646324,1514.0,834.5,14932.666666666668,44798.0,38850.15371164632,6
70,2010,r003,Wellington,2,782.0,411.3000081380208,415594.58303886926,1453.3250732421875,906.0,19276.399576822918,57829.19873046875,41559.458303886924,6
71,2013,r002,Rest of North Island,2,639.1666666666666,326.0333251953125,300528.13243791973,1666.4249267578125,963.5,16282.933756510414,48848.80126953124,30052.813243791974,6
72,2010,r002,Rest of North Island,1,459.0,291.5333251953125,295959.3880159229,1453.3250732421875,906.0,8708.26708984375,26124.80126953125,29595.938801592292,5
73,2019,r005,Rest of South Island,3,908.6666666666666,382.7666829427083,509277.888101983,2560.3251953125,1035.25,27346.799153645832,82040.3974609375,50927.7888101983,6
74,2019,r001,Auckland,2,920.0,516.3000081380209,1237085.7462323771,2560.3251953125,1035.25,20992.399576822914,62977.19873046874,123708.57462323771,3
